id,municipality,domain,title,description,summary,policy_category,service_type,target_user,resident_touchpoint,related_department,assumed_issue,operational_pain_point,managed_data_objects,crm_use_case,salesforce_relevance,sales_opportunity_hypothesis,priority_score,priority_reason,first_meeting_questions,data_quality_flag,source_url
saitama_childcare_001,さいたま市,子育て,多胎児家庭サポート事業,1歳未満の多胎児を養育している家庭を対象に、支援員が多胎児の育児支援や乳幼児健康診査等の外出への同行サービスを行い、保護者のお手伝いをします。,さいたま市の多胎児家庭サポート事業は、1歳未満の多胎児を育てる家庭に対して、育児支援や健康診査への同行サービスを提供する制度です。,子育て支援,育児支援サービス,1歳未満の多胎児を養育している家庭,支援員による家庭訪問や外出同行,子育て支援課,多胎児家庭の育児負担の軽減,支援員のリソース不足やサービスの認知度の低さ,家庭情報 / 支援員の訪問記録 / 健康診査の結果,支援対象家庭の管理とフォローアップ,Salesforceを活用して、支援対象家庭のデータを一元管理し、支援員の訪問スケジュールを最適化することが可能。,多胎児家庭向けの支援サービスを強化することで、地域の子育て支援の質を向上させ、自治体との連携を深める機会がある。,8,多胎児家庭は特別な支援が必要であり、ニーズが高いことから、営業活動において優先度が高い。,現在の多胎児家庭への支援体制はどのようになっていますか？ / 支援員の訪問スケジュール管理に課題はありますか？ / 家庭からのフィードバックはどのように収集していますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
saitama_childcare_002,さいたま市,子育て,子育てヘルパー派遣事業,子育て世帯にホームヘルパーを派遣し、家事や育児の援助を行います。,さいたま市の子育てヘルパー派遣事業は、子育て世帯に対してホームヘルパーを派遣し、家事や育児の支援を行う制度です。,子育て支援,ヘルパー派遣サービス,子育て世帯,子育て支援窓口、オンライン申請システム,子育て支援課,子育て世帯の育児負担軽減,ヘルパーの派遣調整や利用者とのマッチングの効率化,利用者情報 / ヘルパー情報 / 派遣履歴,利用者とのコミュニケーション管理、サービス利用状況の追跡,Salesforceを活用することで、利用者データの管理やヘルパーの派遣状況をリアルタイムで把握し、サービスの改善に繋げることが可能。,子育て支援制度のデジタル化を進めることで、効率的なサービス提供が実現でき、自治体のニーズに応えるソリューションを提案できる。,8,子育て支援は地域住民のニーズが高く、サービスの質向上が求められているため。,現在のヘルパー派遣のプロセスで課題に感じている点は何ですか？ / 利用者からのフィードバックはどのように管理されていますか？ / ヘルパーのマッチングに関して、どのようなデータを活用していますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
saitama_childcare_003,さいたま市,子育て,低所得の子育て家庭児童進学支援金,低所得の子育て家庭等の児童の進学に向けた経済的支援を行うため、模試費用や受験料を助成するとともに、大学等入学時に入学一時金を助成します。,さいたま市の低所得の子育て家庭向けに、児童の進学を支援するための経済的支援制度。,子育て支援,経済的支援,低所得の子育て家庭,進学に関する相談窓口、教育委員会,教育委員会、福祉部,低所得家庭が進学に必要な費用を捻出できないことによる教育機会の不平等,助成金の申請手続きが複雑で、利用者が手続きを躊躇する可能性がある。,申請者情報 / 助成金支給履歴 / 進学先情報,助成金申請者のフォローアップや進学状況のトラッキング,Salesforceを活用して申請者のデータ管理や進捗状況の可視化を行うことで、支援の効果を高める。,自治体の助成金制度を効率化するためのCRMシステム導入のニーズがある。,8,低所得家庭の支援は社会的なニーズが高く、自治体の施策に直結するため。,現在の助成金申請プロセスでの課題は何ですか？ / 申請者のデータ管理はどのように行っていますか？ / 進学支援制度の利用促進に向けた取り組みはありますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
saitama_childcare_004,さいたま市,子育て,電子または郵送による申請が可能な福祉3医療制度の手続きについて,さいたま市ファミリー・サポート・センター事業及び子育て緊急サポート事業利用支援事業（サービスを受けた方） さいたま市在住のひとり親家庭、多子世帯 、多胎児世帯、ダブルケア世帯及び障害者世帯の方が、さいたま市ファミリー・サポート・センター事業、又は子育て緊急サポート事業を利用した場合に、利用料の一部を助成します。 さいたま市ファミリー・サポート・センター事業及び子育て緊急サポート事業利用促進事業（サービスを提供した方） さいたま市ファミリー・サポート・センター事業、又は子育て緊急サポート事業における預かり又は送迎等の援助活動を行った会員に、利用促進事業助成金を交付します。,さいたま市では、ひとり親家庭や多子世帯など特定の家庭に対して、ファミリー・サポート・センター事業や子育て緊急サポート事業の利用料を助成する制度を提供しています。,子育て支援,福祉・医療制度の手続き,ひとり親家庭、多子世帯、多胎児世帯、ダブルケア世帯、障害者世帯,ファミリー・サポート・センター、子育て緊急サポート事業,子育て支援課,対象家庭が制度を利用しにくい、または情報が不足している可能性,申請手続きの複雑さや情報提供の不足,利用者情報 / 助成金申請データ / サービス提供者情報,利用者の申請状況や助成金の支給状況を管理し、フォローアップを行う,Salesforceを活用することで、申請プロセスの効率化や利用者への情報提供を強化できる,自治体の子育て支援制度のデジタル化を進めることで、申請者の利便性を向上させ、利用促進につながる可能性がある,8,子育て支援は地域住民のニーズが高く、制度の利用促進が求められているため,現在の申請プロセスでの課題は何ですか？ / 利用者からのフィードバックはどのように収集していますか？ / 助成金の支給状況をどのように管理していますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
saitama_childcare_005,さいたま市,子育て,子育て支援医療費助成制度について,さいたま市では深刻な少子化問題を踏まえ、子育て支援の観点から、お子様の医療費を助成しています。,さいたま市の子育て支援医療費助成制度は、少子化問題に対応するためにお子様の医療費を助成する制度です。,子育て支援,医療費助成,さいたま市に住む子育て中の家庭,医療機関、役所窓口、オンライン申請,さいたま市健康福祉部,子育て家庭の医療費負担の軽減,助成金申請手続きの煩雑さや情報不足,申請者情報 / 医療費データ / 助成金支給履歴,申請者へのフォローアップや情報提供,申請プロセスの効率化やデータ管理の強化にSalesforceが活用できる,医療費助成制度の申請手続きのデジタル化により、住民の利便性向上と業務効率化が図れる,8,少子化対策としての重要性と、住民のニーズに直結するため,現在の申請手続きにおける課題は何ですか？ / 住民からのフィードバックはどのように収集していますか？ / デジタル化に向けた取り組みは進んでいますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
saitama_childcare_006,さいたま市,子育て,さいたまファミリー・サポート・センター,さいたまファミリー・サポート・センター仕事と育児の両立を支援することを目的とした「さいたまファミリー・サポート・センター」は、育児の援助を受けたい方（依頼会員）と育児の援助を行いたい方（提供会員）から…,さいたまファミリー・サポート・センターは、育児の援助を受けたい家庭と提供したい家庭をつなぐプラットフォームであり、仕事と育児の両立を支援することを目的としています。,子育て支援,育児支援サービス,育児の援助を必要とする家庭（依頼会員）および育児の援助を提供したい個人（提供会員）,センターのウェブサイト、地域の子育て支援イベント、相談窓口,さいたま市子育て支援課,育児と仕事の両立に悩む家庭が多く、育児支援のニーズが高まっている。,依頼会員と提供会員のマッチングがスムーズに行われない場合がある。,依頼会員情報 / 提供会員情報 / マッチング履歴 / 利用状況データ,依頼会員と提供会員の情報を管理し、マッチングの効率を向上させるためのデータ分析。,Salesforceを活用することで、依頼会員と提供会員のデータを一元管理し、マッチングプロセスを自動化することが可能。,自治体の育児支援制度におけるデータ管理の効率化を提案することで、業務プロセスの改善と住民サービスの向上を図れる。,8,育児支援は地域住民のニーズが高く、効率的なサービス提供が求められているため。,現在の依頼会員と提供会員のマッチングプロセスはどのようになっていますか？ / 育児支援に関するデータはどのように管理されていますか？ / 利用者からのフィードバックはどのように収集していますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
saitama_childcare_007,さいたま市,子育て,ファミリー・サポート・センターの提供会員を募集しています,あなたも育児の援助をしてみませんかファミリー・サポート・センターとは育児の援助を受けたい「依頼会員」と援助を行ないたい「提供会員」による相互援助を行う会員組織です。,さいたま市のファミリー・サポート・センターは、育児の援助を希望する「依頼会員」と援助を行いたい「提供会員」による相互援助の仕組みを提供しています。,子育て支援,育児援助サービス,育児を行う家庭、育児支援を希望する市民,ファミリー・サポート・センターのウェブサイト、地域の子育て支援イベント,子育て支援課,育児支援を必要とする家庭のニーズに対する支援の不足,提供会員の募集とマッチングの効率性,依頼会員情報 / 提供会員情報 / マッチング履歴,依頼会員と提供会員の情報管理、マッチングの履歴追跡,Salesforceを活用することで、会員の情報管理やマッチングプロセスの効率化が可能,自治体の育児支援制度のデジタル化により、効率的なマッチングシステムを提供できる可能性がある,8,子育て支援は地域住民のニーズが高く、効率的な支援が求められているため,現在の提供会員の募集方法はどのようになっていますか？ / マッチングプロセスでの課題は何ですか？ / データ管理においてどのようなシステムを使用していますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
saitama_childcare_008,さいたま市,子育て,産後ケア事業を利用してみませんか,訪問型・デイサービス型・宿泊型産後ケア事業を実施し、産後のお母さんと赤ちゃんをサポートします。,さいたま市の産後ケア事業は、訪問型、デイサービス型、宿泊型のサービスを通じて、産後のお母さんと赤ちゃんを支援するプログラムです。,子育て支援,産後ケアサービス,産後のお母さんとその赤ちゃん,市役所の子育て支援窓口、地域の保健センター,子育て支援課,産後の母親が育児に不安を感じていることや、サポートが不足していること,サービスの利用促進や、対象者への情報提供が不十分である可能性,利用者情報 / サービス提供記録 / フィードバックデータ,産後ケアサービスの利用者管理とフォローアップ,Salesforceを活用して、利用者のデータを一元管理し、サービスの利用促進を図ることが可能,産後ケア事業の利用者が増加することで、地域の子育て支援の質が向上し、他の関連サービスへの需要も高まる可能性がある,8,子育て支援は地域住民のニーズが高く、サービスの質向上が期待できるため,現在の産後ケア事業の利用状況はどのようになっていますか？ / 利用者からのフィードバックはどのように管理されていますか？ / サービスの認知度を高めるためにどのような施策を行っていますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
saitama_childcare_009,さいたま市,子育て,なんでも子ども相談窓口をご利用ください,子どもや家庭に関するあらゆることについて、相談員が窓口・電話等で対応します。お気軽になんでもご相談ください。,さいたま市の子育て支援制度として、子どもや家庭に関する相談を受け付ける窓口を設置している。,子育て支援,相談サービス,子どもを持つ家庭,なんでも子ども相談窓口、電話,子育て支援課,子育てに関する悩みや不安を抱える家庭が多い。,相談窓口の利用者が少ない場合、支援が必要な家庭に情報が届かない可能性がある。,相談内容 / 利用者情報 / 相談履歴,相談者の情報を管理し、フォローアップやサービス提供の履歴を追跡する。,Salesforceを活用することで、相談内容の分析や利用者への適切なサービス提供が可能になる。,相談窓口の利用促進に向けたCRMシステムの導入により、より多くの家庭が支援を受けられるようになる。,8,子育て支援は地域のニーズが高く、効果的な支援が求められているため。,現在の相談窓口の利用状況はどうなっていますか？ / 相談内容のデータはどのように管理されていますか？ / 利用者へのフォローアップは行っていますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
saitama_childcare_010,さいたま市,子育て,子どもショートステイ事業をご利用ください,小学生以下のお子さんを養育している保護者が、疾病・介護などの理由により、一時的にお子さんの養育が困難となった場合、市と契約した乳児院・児童養護施設・ファミリーホームで一定期間（原則7日間）お預かりいたします。,さいたま市の子どもショートステイ事業は、疾病や介護により一時的に子どもの養育が困難な保護者を支援する制度です。,子育て支援,一時預かりサービス,小学生以下の子どもを持つ保護者,市の福祉窓口、オンライン申請システム,子育て支援課,保護者が疾病や介護で子どもを養育できない状況に直面すること,一時預かりのニーズに対する情報提供や手続きの煩雑さ,利用者情報 / 施設情報 / 利用状況データ,利用者のニーズに基づいたサービス提供の最適化,CRMを活用して利用者の情報を管理し、サービスの利用促進を図ることが可能,子育て支援制度の利用促進に向けた情報提供や手続きの簡素化を支援するソリューションの提案,8,子育て支援は地域住民の生活に直結し、ニーズが高いため,現在の子どもショートステイ事業の利用状況はどうなっていますか？ / 保護者からのフィードバックはどのようなものがありますか？ / 手続きの簡素化に向けた取り組みは行っていますか？,高,https://www.city.saitama.lg.jp/003/001/011/index.html
